SKU,DESCRIÇÃO,FILA,TORRE,NÍVEL,ENDEREÇO,QTD
VAZIO,VAZIO,A,1,1.0,A-1-1,1
VAZIO,VAZIO,A,1,2.0,A-1-2,2
VAZIO,VAZIO,A,1,3.0,A-1-3,3
VAZIO,VAZIO,A,1,4.0,A-1-4,4
VAZIO,VAZIO,A,1,5.0,A-1-5,5
TGSA57412000,SSG ,A,2,1.0,A-2-1,6
TGSA57162000,SSG ,A,2,1.0,A-2-1,7
TGSA509B4000,SSG GALAXY A256E 5G 256G AZM PPB/P291/14,A,2,2.0,A-2-2,8
TGSA529B4000,SSG GALAXY A556E 256GB AZM PPB/P291/14,A,2,2.0,A-2-2,9
TGSA57212000,SSG ,A,2,2.0,A-2-2,10
VAZIO,VAZIO,A,2,3.0,A-2-3,11
VAZIO,VAZIO,A,2,4.0,A-2-4,12
VAZIO,VAZIO,A,2,5.0,A-2-5,13
VAZIO,VAZIO,A,2,5.0,A-2-5,14
TGSA56224000,SSG GALAXY A366E 256GB BR PPB/P291/14,A,3,1.0,A-3-1,15
TGSA56264000,SSG GALAXY A366E 256GB PT PPB/P291/14,A,3,1.0,A-3-1,16
TGSA56364000,SSG GALAXY A566E 256GB PT PPB/P291/14,A,3,2.0,A-3-2,17
TGSA563C4000,SSG GALAXY A566E 256GB CZ PPB/P291/14,A,3,3.0,A-3-3,18
TGSA56842000,SSG GALAXY S937B 512GB TN PR PPB/P291/12,A,3,3.0,A-3-3,19
TGSA56862000,SSG GALAXY S937B 512GB TN PT PPB/P291/12,A,3,4.0,A-3-4,20
TGSA56124000,SSG GALAXY A266M 256GB BR PPB/P291/14,A,3,4.0,A-3-4,21
VAZIO,VAZIO,A,3,5.0,A-3-5,22
TGSA55344000,SSG GALAXY S931B 256GB PR PPB/P291/14,A,4,1.0,A-4-1,23
TGSA553B4000,SSG GALAXY S931B 256GB AZM PPB/P291/14,A,4,1.0,A-4-1,24
TGSA55414000,SSG GALAXY S936B 256GB AZ PPB/P291/14,A,4,1.0,A-4-1,25
TGSA55314000,SSG GALAXY S931B 256GB AZ PPB/P291/14,A,4,1.0,A-4-1,26
